127.0.0.1 - - [07/May/2025:13:57:14 +0800] "GET / HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [07/May/2025:13:57:15 +0800] "GET /javaweb/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2025:13:57:15 +0800] "GET /javaweb//layui/css/layui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2025:13:57:15 +0800] "GET /javaweb//layui/layui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2025:13:57:15 +0800] "GET /javaweb//layui/font/iconfont.woff2?v=293 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2025:13:57:15 +0800] "GET /favicon.ico HTTP/1.1" 404 712
0:0:0:0:0:0:0:1 - - [07/May/2025:13:57:17 +0800] "POST /javaweb/CheckLoginServlet HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [07/May/2025:13:57:19 +0800] "GET /javaweb/pages/UserForm.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2025:13:57:19 +0800] "GET /javaweb/pages/Public/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2025:13:57:19 +0800] "GET /javaweb/img/ModelImage/Laptop.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2025:13:57:19 +0800] "GET /javaweb/img/ModelImage/Phone.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2025:13:57:20 +0800] "GET /javaweb/img/ModelImage/Console.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2025:13:57:20 +0800] "GET /javaweb/img/ModelImage/PowerTools.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2025:13:57:20 +0800] "GET /javaweb/SelectPersonalInfoServlet HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [07/May/2025:13:57:20 +0800] "GET /javaweb/img/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2025:13:57:34 +0800] "GET /javaweb/pages/Article/ConsoleArticle.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2025:13:57:34 +0800] "GET /javaweb/SearchArticleServlet?page=1&limit=10&model=%E6%B8%B8%E6%88%8F%E4%B8%BB%E6%9C%BA HTTP/1.1" 200 452
0:0:0:0:0:0:0:1 - - [07/May/2025:13:57:36 +0800] "GET /javaweb/pages/Article/PhoneArticle.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2025:13:57:36 +0800] "GET /javaweb/layui/layui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2025:13:57:36 +0800] "GET /javaweb/layui/css/layui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2025:13:57:36 +0800] "GET /javaweb/layui/font/iconfont.woff2?v=293 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2025:13:57:36 +0800] "GET /javaweb/SearchArticleServlet?page=1&limit=10&model=%E6%89%8B%E6%9C%BA HTTP/1.1" 200 1730
0:0:0:0:0:0:0:1 - - [07/May/2025:13:57:41 +0800] "GET /javaweb/SearchArticleServlet?page=1&limit=10&model=%E6%89%8B%E6%9C%BA HTTP/1.1" 200 1730
0:0:0:0:0:0:0:1 - - [07/May/2025:13:57:43 +0800] "GET /javaweb/SearchArticleServlet?page=1&limit=10&model=%E6%B8%B8%E6%88%8F%E4%B8%BB%E6%9C%BA HTTP/1.1" 200 452
0:0:0:0:0:0:0:1 - - [07/May/2025:13:57:44 +0800] "GET /javaweb/pages/Article/AllArticle.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2025:13:57:44 +0800] "GET /javaweb/SearchArticleServlet?page=1&limit=10&model= HTTP/1.1" 200 1886
0:0:0:0:0:0:0:1 - - [07/May/2025:13:57:44 +0800] "GET /javaweb/SelectAllArticleServlet?page=1&limit=10 HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [07/May/2025:13:57:46 +0800] "GET /javaweb/SelectAllArticleServlet?page=1&limit=10 HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [07/May/2025:13:57:46 +0800] "GET /javaweb/SearchArticleServlet?page=1&limit=10&model= HTTP/1.1" 200 1886
0:0:0:0:0:0:0:1 - - [07/May/2025:13:58:20 +0800] "GET /javaweb/pages/Article/AllArticle.html HTTP/1.1" 200 7653
0:0:0:0:0:0:0:1 - - [07/May/2025:13:58:21 +0800] "GET /javaweb/SelectAllArticleServlet?page=1&limit=10 HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [07/May/2025:13:58:21 +0800] "GET /javaweb/SearchArticleServlet?page=1&limit=10&model= HTTP/1.1" 200 1886
