127.0.0.1 - - [24/May/2025:16:26:02 +0800] "GET / HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [24/May/2025:16:26:02 +0800] "GET /javaweb/ HTTP/1.1" 200 3572
0:0:0:0:0:0:0:1 - - [24/May/2025:16:26:02 +0800] "GET /javaweb//js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [24/May/2025:16:26:02 +0800] "GET /javaweb//layui/layui.js HTTP/1.1" 200 375773
0:0:0:0:0:0:0:1 - - [24/May/2025:16:26:02 +0800] "GET /javaweb//layui/css/layui.css HTTP/1.1" 200 130067
0:0:0:0:0:0:0:1 - - [24/May/2025:16:26:02 +0800] "GET /javaweb//layui/font/iconfont.woff2?v=293 HTTP/1.1" 200 30004
0:0:0:0:0:0:0:1 - - [24/May/2025:16:26:03 +0800] "GET /favicon.ico HTTP/1.1" 404 712
0:0:0:0:0:0:0:1 - - [24/May/2025:16:26:06 +0800] "POST /javaweb/CheckLoginServlet HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [24/May/2025:16:26:08 +0800] "GET /javaweb/pages/MainForm.html HTTP/1.1" 200 5252
0:0:0:0:0:0:0:1 - - [24/May/2025:16:26:08 +0800] "GET /javaweb/pages/Public/Home.html HTTP/1.1" 200 8103
0:0:0:0:0:0:0:1 - - [24/May/2025:16:26:08 +0800] "GET /javaweb/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [24/May/2025:16:26:08 +0800] "GET /javaweb/layui/layui.js HTTP/1.1" 200 375773
0:0:0:0:0:0:0:1 - - [24/May/2025:16:26:08 +0800] "GET /javaweb/layui/css/layui.css HTTP/1.1" 200 130067
0:0:0:0:0:0:0:1 - - [24/May/2025:16:26:08 +0800] "GET /javaweb/img/ModelImage/Laptop.png HTTP/1.1" 200 7502
0:0:0:0:0:0:0:1 - - [24/May/2025:16:26:08 +0800] "GET /javaweb/img/ModelImage/Phone.png HTTP/1.1" 200 8536
0:0:0:0:0:0:0:1 - - [24/May/2025:16:26:08 +0800] "GET /javaweb/img/ModelImage/Console.png HTTP/1.1" 200 9145
0:0:0:0:0:0:0:1 - - [24/May/2025:16:26:08 +0800] "GET /javaweb/img/ModelImage/PowerTools.png HTTP/1.1" 200 12890
0:0:0:0:0:0:0:1 - - [24/May/2025:16:26:08 +0800] "GET /javaweb/CountModelArticleServlet HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [24/May/2025:16:26:39 +0800] "GET /javaweb/pages/MainForm.html HTTP/1.1" 200 5258
0:0:0:0:0:0:0:1 - - [24/May/2025:16:26:39 +0800] "GET /javaweb/CountModelArticleServlet HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [24/May/2025:16:26:41 +0800] "GET /javaweb/pages/MainForm.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2025:16:26:41 +0800] "GET /javaweb/CountModelArticleServlet HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [24/May/2025:16:26:41 +0800] "GET /javaweb/pages/MainForm.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2025:16:26:41 +0800] "GET /javaweb/pages/MainForm.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2025:16:26:41 +0800] "GET /javaweb/pages/MainForm.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2025:16:26:42 +0800] "GET /javaweb/pages/MainForm.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2025:16:26:42 +0800] "GET /javaweb/pages/MainForm.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2025:16:26:42 +0800] "GET /javaweb/pages/MainForm.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2025:16:26:42 +0800] "GET /javaweb/CountModelArticleServlet HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [24/May/2025:16:27:17 +0800] "GET /javaweb/pages/Article/LaptopArticle.html HTTP/1.1" 200 6204
