127.0.0.1 - - [26/May/2025:21:11:57 +0800] "GET / HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [26/May/2025:21:11:58 +0800] "GET /javaweb/ HTTP/1.1" 200 3572
0:0:0:0:0:0:0:1 - - [26/May/2025:21:11:58 +0800] "GET /javaweb//layui/css/layui.css HTTP/1.1" 200 130067
0:0:0:0:0:0:0:1 - - [26/May/2025:21:11:58 +0800] "GET /javaweb//layui/layui.js HTTP/1.1" 200 375773
0:0:0:0:0:0:0:1 - - [26/May/2025:21:11:58 +0800] "GET /javaweb//js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [26/May/2025:21:11:58 +0800] "GET /javaweb//layui/font/iconfont.woff2?v=293 HTTP/1.1" 200 30004
0:0:0:0:0:0:0:1 - - [26/May/2025:21:11:58 +0800] "GET /favicon.ico HTTP/1.1" 404 712
0:0:0:0:0:0:0:1 - - [26/May/2025:21:15:58 +0800] "POST /javaweb/CheckLoginServlet HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [26/May/2025:21:16:00 +0800] "GET /javaweb/pages/UserForm.html HTTP/1.1" 200 6969
0:0:0:0:0:0:0:1 - - [26/May/2025:21:16:00 +0800] "GET /javaweb/pages/Public/Home.html HTTP/1.1" 200 8113
0:0:0:0:0:0:0:1 - - [26/May/2025:21:16:00 +0800] "GET /javaweb/layui/css/layui.css HTTP/1.1" 200 130067
0:0:0:0:0:0:0:1 - - [26/May/2025:21:16:00 +0800] "GET /javaweb/layui/layui.js HTTP/1.1" 200 375773
0:0:0:0:0:0:0:1 - - [26/May/2025:21:16:00 +0800] "GET /javaweb/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [26/May/2025:21:16:00 +0800] "GET /javaweb/img/ModelImage/Phone.png HTTP/1.1" 200 8536
0:0:0:0:0:0:0:1 - - [26/May/2025:21:16:00 +0800] "GET /javaweb/img/ModelImage/Laptop.png HTTP/1.1" 200 7502
0:0:0:0:0:0:0:1 - - [26/May/2025:21:16:00 +0800] "GET /javaweb/img/ModelImage/Console.png HTTP/1.1" 200 9145
0:0:0:0:0:0:0:1 - - [26/May/2025:21:16:00 +0800] "GET /javaweb/img/ModelImage/PowerTools.png HTTP/1.1" 200 12890
0:0:0:0:0:0:0:1 - - [26/May/2025:21:16:00 +0800] "GET /javaweb/SelectPersonalInfoServlet HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [26/May/2025:21:16:00 +0800] "GET /javaweb/img/2.jpg HTTP/1.1" 200 48425
0:0:0:0:0:0:0:1 - - [26/May/2025:21:16:00 +0800] "GET /javaweb/CountModelArticleServlet HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [26/May/2025:21:17:21 +0800] "GET /javaweb/pages/Article/PhoneArticle.html HTTP/1.1" 200 5912
0:0:0:0:0:0:0:1 - - [26/May/2025:21:17:21 +0800] "GET /javaweb/layui/font/iconfont.woff2?v=293 HTTP/1.1" 200 30004
0:0:0:0:0:0:0:1 - - [26/May/2025:21:17:21 +0800] "GET /javaweb/SearchArticleServlet?page=1&limit=10&model=%E6%89%8B%E6%9C%BA HTTP/1.1" 200 1746
0:0:0:0:0:0:0:1 - - [26/May/2025:21:17:23 +0800] "GET /javaweb/pages/Article/CurrentArticle.html?titleId=2025050320 HTTP/1.1" 200 10116
0:0:0:0:0:0:0:1 - - [26/May/2025:21:17:23 +0800] "POST /javaweb/ShowArticleServlet HTTP/1.1" 200 1565
0:0:0:0:0:0:0:1 - - [26/May/2025:21:17:26 +0800] "GET /javaweb/pages/Article/MyArticle.html HTTP/1.1" 200 5128
0:0:0:0:0:0:0:1 - - [26/May/2025:21:17:26 +0800] "GET /javaweb/SelectMyArticleServlet?page=1&limit=10 HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [26/May/2025:21:17:30 +0800] "GET /javaweb/SearchMyArticleServlet?page=1&limit=10&titleId=&topic=&release=&model=%E6%89%8B%E6%9C%BA HTTP/1.1" 200 1746
